id,username,email,password,role,points,rank,gender,age,height_cm,weight_kg,bmi,country,occupation,createdAt
170,Võ Công Hiếu,võhieu170@outlook.com,user123,user,429,iron,Nam,44,163,63.5,23.9,Việt Nam,Quản lý dự án,2025-07-28T20:41:06
171,Đặng Hữu Lâm,danglam171@hotmail.com,user123,user,2620,gold,Nam,24,181,77.5,23.7,Hàn Quốc,Kiến trúc sư,2025-09-14T20:41:06
172,Bùi Thu Trang,bùitrang172@yahoo.com,user123,user,800,bronze,Nữ,42,170,64.0,22.1,Việt Nam,Kỹ sư phần mềm,2025-06-29T20:41:06
173,Huỳnh Thanh Linh,huynhlinh173@hotmail.com,user123,user,421,iron,Nữ,40,164,52.1,19.4,Úc,Y tá,2026-02-19T20:41:06
174,Lê Ngọc Quỳnh,lequynh174@hotmail.com,user123,user,5354,platinum,Nữ,37,157,54.7,22.2,Nhật Bản,Nhân viên văn phòng,2025-09-27T20:41:06
175,Lý Thu Thảo,lythao175@gmail.com,user123,user,3585,gold,Nữ,37,167,54.4,19.5,Nhật Bản,Sinh viên,2025-10-17T20:41:06
176,Nguyễn Phương Lan,nguyễnlan176@gmail.com,user123,user,557,bronze,Nữ,41,167,52.4,18.8,Singapore,Bác sĩ,2026-03-13T20:41:06
177,Vũ Ngọc Mai,vũmai177@gmail.com,user123,user,77,iron,Nữ,22,162,52.3,19.9,Việt Nam,Sinh viên,2026-05-12T20:41:06
178,Lê Phương Trinh,letrinh178@outlook.com,user123,user,28885,master,Nữ,36,156,57.3,23.5,Việt Nam,Lập trình viên,2025-10-19T20:41:06
179,Lý Phương Nhung,lynhung179@hotmail.com,user123,user,1472,bronze,Nữ,22,167,65.0,23.3,Việt Nam,Kỹ sư phần mềm,2025-06-04T20:41:06
180,Vũ Công Nam,vũnam180@hotmail.com,user123,user,125,iron,Nam,42,169,54.4,19.0,Canada,Marketing,2025-12-22T20:41:06
181,Phạm Thanh Xuân,phamxuan181@outlook.com,user123,user,2542,gold,Nam,33,174,71.5,23.6,Canada,Bác sĩ,2025-07-15T20:41:06
182,Huỳnh Kim Loan,huynhloan182@gmail.com,user123,user,594,bronze,Nữ,34,157,55.1,22.4,Pháp,Kế toán,2025-06-12T20:41:06
183,Huỳnh Văn Giang,huynhgiang183@hotmail.com,user123,user,3396,gold,Nam,25,165,69.3,25.5,Úc,Sinh viên,2025-07-26T20:41:06
184,Hoàng Phương Chi,hoangchi184@hotmail.com,user123,user,834,bronze,Nữ,23,156,49.8,20.5,Việt Nam,Giáo viên,2026-01-16T20:41:06
185,Lê Mỹ Chi,lechi185@yahoo.com,user123,user,2120,gold,Nữ,22,170,52.6,18.2,Canada,Doanh nhân,2025-09-30T20:41:06
186,Lê Minh Khoa,lekhoa186@hotmail.com,user123,user,155,iron,Nam,27,181,71.3,21.8,Nhật Bản,Doanh nhân,2025-08-14T20:41:06
187,Ngô Công Thắng,ngothang187@outlook.com,user123,user,1249,bronze,Nam,41,163,51.9,19.5,Việt Nam,Lập trình viên,2026-02-15T20:41:06
188,Võ Văn Khoa,võkhoa188@hotmail.com,user123,user,8046,diamond,Nam,28,168,60.2,21.3,Úc,Kiến trúc sư,2025-08-14T20:41:06
189,Phan Thị Lan,phanlan189@outlook.com,user123,user,621,bronze,Nữ,44,155,49.4,20.6,Canada,Nhà báo,2026-03-24T20:41:06
190,Bùi Quốc Phúc,bùiphúc190@yahoo.com,user123,user,176,iron,Nam,23,170,55.4,19.2,Việt Nam,Y tá,2025-09-22T20:41:06
191,Phan Minh Tùng,phantùng191@gmail.com,user123,user,1288,bronze,Nam,38,170,71.7,24.8,Pháp,Luật sư,2025-12-02T20:41:06
192,Huỳnh Thị Trang,huynhtrang192@yahoo.com,user123,user,706,bronze,Nữ,42,164,59.4,22.1,Việt Nam,Quản lý dự án,2025-09-16T20:41:06
193,Vũ Minh Nam,vũnam193@outlook.com,user123,user,1087,bronze,Nam,26,167,59.3,21.3,Việt Nam,Doanh nhân,2025-05-27T20:41:06
194,Lê Thu Linh,lelinh194@hotmail.com,user123,user,6711,platinum,Nữ,25,162,49.8,19.0,Việt Nam,Marketing,2026-01-03T20:41:06
195,Hồ Quốc Bảo,hobao195@hotmail.com,user123,user,3626,gold,Nam,38,179,77.1,24.1,Thái Lan,Bác sĩ,2026-01-04T20:41:06
196,Lý Hoàng Hải,lyhai196@hotmail.com,user123,user,2839,gold,Nam,31,182,79.4,24.0,Việt Nam,Marketing,2026-05-04T20:41:06
197,Hoàng Quốc Hiếu,hoanghieu197@yahoo.com,user123,user,9690,diamond,Nam,32,162,48.9,18.6,Trung Quốc,Thiết kế đồ họa,2025-11-15T20:41:06
198,Võ Mỹ Linh,võlinh198@gmail.com,user123,user,212,iron,Nữ,34,154,41.4,17.5,Hàn Quốc,Bác sĩ,2025-08-30T20:41:06
199,Đỗ Thu Hương,dỗhuong199@gmail.com,user123,user,6742,platinum,Nữ,44,170,55.4,19.2,Đức,Quản lý dự án,2025-11-28T20:41:06
200,Vũ Công Tuấn,vũtuan200@gmail.com,user123,user,7481,platinum,Nam,23,165,65.3,24.0,Đức,Luật sư,2025-11-11T20:41:06
201,Trần Kim Anh,trananh201@gmail.com,user123,user,3569,gold,Nữ,30,159,45.5,18.0,Úc,Lập trình viên,2026-05-04T20:41:06
202,Bùi Văn Đức,bùiduc202@gmail.com,user123,user,2417,gold,Nam,33,178,65.8,20.8,Việt Nam,Marketing,2026-05-23T20:41:06
203,Nguyễn Hoàng Quân,nguyễnquan203@outlook.com,user123,user,27472,master,Nam,26,168,69.0,24.4,Việt Nam,Kế toán,2026-01-22T20:41:06
204,Dương Thu Uyên,duonguyen204@gmail.com,user123,user,4764,platinum,Nữ,37,162,46.1,17.6,Việt Nam,Doanh nhân,2026-02-09T20:41:06
205,Ngô Đức Liêm,ngoliem205@outlook.com,user123,user,184,iron,Nam,36,168,56.5,20.0,Nhật Bản,Giáo viên,2025-06-20T20:41:06
206,Dương Hoàng Giang,duonggiang206@gmail.com,user123,user,623,bronze,Nam,23,179,75.8,23.7,Thái Lan,Giáo viên,2026-01-12T20:41:06
207,Đặng Phương Nhung,dangnhung207@gmail.com,user123,user,6850,platinum,Nữ,41,154,53.0,22.3,Mỹ,Y tá,2026-03-18T20:41:06
208,Hoàng Ngọc Lan,hoanglan208@hotmail.com,user123,user,3116,gold,Nữ,32,167,56.1,20.1,Úc,Y tá,2025-09-24T20:41:06
209,Lê Văn Kiên,lekien209@hotmail.com,user123,user,3780,gold,Nam,20,169,62.3,21.8,Mỹ,Bác sĩ,2026-04-01T20:41:06
210,Đặng Đức Khoa,dangkhoa210@yahoo.com,user123,user,610,bronze,Nam,30,165,56.4,20.7,Pháp,Lập trình viên,2025-12-03T20:41:06
211,Huỳnh Công Quang,huynhquang211@outlook.com,user123,user,11084,diamond,Nam,30,173,63.4,21.2,Việt Nam,Luật sư,2026-05-02T20:41:06
212,Huỳnh Văn Nam,huynhnam212@gmail.com,user123,user,3203,gold,Nam,31,166,64.2,23.3,Việt Nam,Nhà báo,2025-09-21T20:41:06
213,Phạm Hoàng Long,phamlong213@yahoo.com,user123,user,1803,gold,Nam,31,163,55.0,20.7,Nhật Bản,Kỹ sư phần mềm,2025-06-23T20:41:06
214,Phan Kim Tuyết,phantuyet214@outlook.com,user123,user,6059,platinum,Nữ,35,162,50.0,19.1,Trung Quốc,Luật sư,2025-09-06T20:41:06
215,Trần Công Thắng,tranthang215@gmail.com,user123,user,3448,gold,Nam,18,164,53.7,20.0,Việt Nam,Nhân viên văn phòng,2026-04-01T20:41:06
216,Hồ Quốc Anh,hoanh216@gmail.com,user123,user,311,iron,Nam,32,171,65.9,22.5,Pháp,Y tá,2025-06-14T20:41:06
217,Hoàng Thị Thủy,hoangthủy217@gmail.com,user123,user,1867,gold,Nữ,23,165,48.7,17.9,Việt Nam,Bác sĩ,2025-08-19T20:41:06
218,Dương Minh Đức,duongduc218@gmail.com,user123,user,2376,gold,Nam,38,177,73.0,23.3,Đức,Y tá,2026-01-19T20:41:06
219,Lý Đức Nam,lynam219@outlook.com,user123,user,597,bronze,Nam,30,177,77.7,24.8,Canada,Nhân viên văn phòng,2026-03-16T20:41:06
220,Phan Hoàng Minh,phanminh220@yahoo.com,user123,user,397,iron,Nam,40,177,72.3,23.1,Việt Nam,Doanh nhân,2025-11-04T20:41:06
221,Phạm Bích Thủy,phamthủy221@gmail.com,user123,user,229,iron,Nữ,28,162,50.8,19.4,Đức,Giáo viên,2025-11-29T20:41:06
222,Đặng Quốc Vũ,dangvũ222@yahoo.com,user123,user,3976,gold,Nam,41,179,63.3,19.8,Việt Nam,Kiến trúc sư,2026-05-22T20:41:06
223,Dương Kim Hiền,duonghien223@gmail.com,user123,user,5641,platinum,Nữ,30,163,50.1,18.9,Úc,Kỹ sư phần mềm,2025-06-23T20:41:06
224,Võ Phương Yến,võyen224@yahoo.com,user123,user,428,iron,Nữ,39,153,49.8,21.3,Mỹ,Marketing,2025-08-22T20:41:06
225,Đỗ Đức Anh,dỗanh225@hotmail.com,user123,user,177,iron,Nam,20,171,71.4,24.4,Thái Lan,Freelancer,2026-03-31T20:41:06
226,Ngô Ngọc Dung,ngodung226@gmail.com,user123,user,23534,master,Nữ,24,165,50.6,18.6,Việt Nam,Kiến trúc sư,2025-07-08T20:41:06
227,Phạm Hữu Đức,phamduc227@outlook.com,user123,user,2978,gold,Nam,21,166,54.2,19.7,Úc,Kiến trúc sư,2025-06-19T20:41:06
228,Phạm Đức Lâm,phamlam228@gmail.com,user123,user,874,bronze,Nam,29,173,74.9,25.0,Việt Nam,Nhân viên văn phòng,2025-06-19T20:41:06
229,Vũ Thanh Quỳnh,vũquynh229@outlook.com,user123,user,3036,gold,Nữ,19,152,52.3,22.6,Thái Lan,Luật sư,2026-04-06T20:41:06
230,Trần Ngọc Dung,trandung230@yahoo.com,user123,user,4846,platinum,Nữ,27,168,51.0,18.1,Trung Quốc,Luật sư,2025-06-07T20:41:06
231,Hoàng Hữu Minh,hoangminh231@yahoo.com,user123,user,2189,gold,Nam,28,169,68.6,24.0,Việt Nam,Doanh nhân,2025-08-11T20:41:06
232,Trần Thu Phương,tranphuong232@gmail.com,user123,user,1211,bronze,Nữ,25,168,55.6,19.7,Việt Nam,Doanh nhân,2025-11-20T20:41:06
233,Hoàng Phương Ngân,hoangngan233@yahoo.com,user123,user,1434,bronze,Nữ,30,167,63.2,22.7,Pháp,Quản lý dự án,2025-08-26T20:41:06
234,Vũ Thanh Nhung,vũnhung234@yahoo.com,user123,user,1010,bronze,Nữ,43,164,60.9,22.6,Đức,Luật sư,2025-07-14T20:41:06
235,Bùi Bích Trang,bùitrang235@yahoo.com,user123,user,3518,gold,Nữ,29,154,48.3,20.4,Việt Nam,Y tá,2025-12-01T20:41:06
236,Vũ Mỹ Xuân,vũxuan236@outlook.com,user123,user,1139,bronze,Nữ,30,159,46.9,18.6,Việt Nam,Doanh nhân,2025-09-16T20:41:06
237,Vũ Thị Thủy,vũthủy237@gmail.com,user123,user,13742,diamond,Nữ,22,162,59.4,22.6,Trung Quốc,Quản lý dự án,2026-02-20T20:41:06
238,Trần Quốc Liêm,tranliem238@outlook.com,user123,user,9570,diamond,Nam,29,168,70.1,24.8,Nhật Bản,Marketing,2026-01-11T20:41:06
239,Vũ Minh Anh,vũanh239@outlook.com,user123,user,4861,platinum,Nam,36,166,65.8,23.9,Nhật Bản,Freelancer,2026-03-09T20:41:06
240,Dương Thanh Minh,duongminh240@outlook.com,user123,user,3045,gold,Nam,40,172,68.9,23.3,Việt Nam,Kế toán,2026-03-31T20:41:06
241,Huỳnh Thu Hương,huynhhuong241@hotmail.com,user123,user,149,iron,Nữ,23,160,55.6,21.7,Hàn Quốc,Luật sư,2026-02-22T20:41:06
242,Ngô Thu Chi,ngochi242@hotmail.com,user123,user,619,bronze,Nữ,37,152,49.9,21.6,Hàn Quốc,Nhân viên văn phòng,2025-11-04T20:41:06
243,Lý Hữu Thắng,lythang243@gmail.com,user123,user,23,iron,Nam,31,181,79.4,24.2,Việt Nam,Kiến trúc sư,2025-12-17T20:41:06
244,Đặng Thu Trinh,dangtrinh244@yahoo.com,user123,user,144,iron,Nữ,30,154,43.0,18.1,Đức,Sinh viên,2025-06-27T20:41:06
245,Hồ Công Hiếu,hohieu245@outlook.com,user123,user,13306,diamond,Nam,29,164,60.5,22.5,Đức,Thiết kế đồ họa,2025-11-05T20:41:06
246,Phan Ngọc Uyên,phanuyen246@outlook.com,user123,user,2385,gold,Nữ,44,152,50.8,22.0,Việt Nam,Lập trình viên,2025-10-17T20:41:06
247,Vũ Văn Việt,vũviet247@yahoo.com,user123,user,3821,gold,Nam,24,181,82.0,25.0,Việt Nam,Y tá,2026-02-02T20:41:06
248,Hoàng Đức Kiên,hoangkien248@hotmail.com,user123,user,2409,gold,Nam,21,172,73.9,25.0,Singapore,Nhân viên văn phòng,2026-02-20T20:41:06
249,Vũ Đức Minh,vũminh249@outlook.com,user123,user,2990,gold,Nam,28,177,71.9,22.9,Pháp,Thiết kế đồ họa,2025-07-04T20:41:06
250,Huỳnh Thanh Vũ,huynhvũ250@outlook.com,user123,user,59,iron,Nam,23,162,62.3,23.7,Việt Nam,Marketing,2025-10-13T20:41:06
251,Phạm Bích Chi,phamchi251@outlook.com,user123,user,849,bronze,Nữ,33,166,59.6,21.6,Trung Quốc,Y tá,2025-09-05T20:41:06
252,Ngô Bích Nhung,ngonhung252@outlook.com,user123,user,1111,bronze,Nữ,27,164,48.3,18.0,Việt Nam,Kế toán,2025-10-17T20:41:06
253,Hồ Công Khoa,hokhoa253@outlook.com,user123,user,9941,diamond,Nam,21,172,55.6,18.8,Việt Nam,Giáo viên,2025-09-16T20:41:06
254,Võ Bích Thảo,võthao254@gmail.com,user123,user,3915,gold,Nữ,27,157,50.3,20.4,Đức,Doanh nhân,2026-04-24T20:41:06
255,Phan Ngọc Hoa,phanhoa255@gmail.com,user123,user,849,bronze,Nữ,29,157,51.6,20.9,Úc,Marketing,2025-10-24T20:41:06
256,Huỳnh Thu Tâm,huynhtam256@gmail.com,user123,user,766,bronze,Nữ,19,165,58.8,21.6,Việt Nam,Kiến trúc sư,2025-11-19T20:41:06
257,Lý Mỹ Lan,lylan257@yahoo.com,user123,user,12316,diamond,Nữ,43,165,50.5,18.5,Thái Lan,Thiết kế đồ họa,2025-06-08T20:41:06
258,Đặng Thanh Long,danglong258@outlook.com,user123,user,5526,platinum,Nam,37,169,68.5,24.0,Thái Lan,Kiến trúc sư,2025-10-27T20:41:06
259,Hoàng Quốc Giang,hoanggiang259@outlook.com,user123,user,1513,gold,Nam,28,180,75.7,23.4,Việt Nam,Kế toán,2025-09-14T20:41:06
260,Ngô Hữu Hải,ngohai260@outlook.com,user123,user,2510,gold,Nam,37,171,61.1,20.9,Việt Nam,Y tá,2025-11-12T20:41:06
261,Huỳnh Văn Trung,huynhtrung261@outlook.com,user123,user,1389,bronze,Nam,18,169,57.5,20.1,Thái Lan,Nhân viên văn phòng,2025-10-14T20:41:06
262,Võ Minh Hiếu,võhieu262@outlook.com,user123,user,11586,diamond,Nam,39,177,65.5,20.9,Nhật Bản,Marketing,2025-08-16T20:41:06
263,Phạm Ngọc Thảo,phamthao263@hotmail.com,user123,user,2491,gold,Nữ,18,157,53.8,21.8,Việt Nam,Y tá,2025-12-28T20:41:06
264,Nguyễn Thanh Chi,nguyễnchi264@hotmail.com,user123,user,8512,diamond,Nữ,31,157,47.6,19.3,Trung Quốc,Sinh viên,2026-03-25T20:41:06
265,Vũ Hữu Bảo,vũbao265@yahoo.com,user123,user,3934,gold,Nam,38,177,69.3,22.1,Việt Nam,Nhà báo,2026-05-09T20:41:06
266,Lê Văn Sơn,leson266@hotmail.com,user123,user,1012,bronze,Nam,20,164,68.3,25.4,Canada,Y tá,2025-12-26T20:41:06
267,Lê Bích Thu,lethu267@outlook.com,user123,user,1160,bronze,Nữ,40,155,55.8,23.2,Pháp,Marketing,2026-05-26T20:41:06
268,Phạm Hữu Quang,phamquang268@hotmail.com,user123,user,1369,bronze,Nam,43,171,61.4,21.0,Singapore,Thiết kế đồ họa,2025-09-22T20:41:06
269,Võ Mỹ Hoa,võhoa269@outlook.com,user123,user,1430,bronze,Nữ,34,162,58.5,22.3,Singapore,Sinh viên,2025-06-27T20:41:06
270,Phan Mỹ Hương,phanhuong270@outlook.com,user123,user,3599,gold,Nữ,35,164,57.7,21.5,Trung Quốc,Y tá,2025-12-31T20:41:06
271,Đỗ Công Dũng,dỗdũng271@yahoo.com,user123,user,6082,platinum,Nam,33,163,66.8,25.1,Nhật Bản,Quản lý dự án,2025-09-30T20:41:06
272,Trần Đức Xuân,tranxuan272@outlook.com,user123,user,29147,master,Nam,23,175,59.4,19.4,Úc,Lập trình viên,2025-08-25T20:41:06
273,Ngô Hữu Xuân,ngoxuan273@yahoo.com,user123,user,804,bronze,Nam,35,163,59.9,22.5,Việt Nam,Kế toán,2026-02-17T20:41:06
274,Nguyễn Công Tuấn,nguyễntuan274@gmail.com,user123,user,4723,platinum,Nam,25,167,59.0,21.2,Việt Nam,Marketing,2025-10-23T20:41:06
275,Lý Bích Yến,lyyen275@outlook.com,user123,user,2325,gold,Nữ,42,165,62.6,23.0,Nhật Bản,Nhà báo,2025-11-26T20:41:06
276,Dương Công Phong,duongphong276@yahoo.com,user123,user,1899,gold,Nam,32,171,58.0,19.8,Việt Nam,Quản lý dự án,2026-03-31T20:41:06
277,Đặng Mỹ Thủy,dangthủy277@yahoo.com,user123,user,967,bronze,Nữ,43,166,53.9,19.6,Mỹ,Lập trình viên,2026-02-14T20:41:06
278,Ngô Hữu Đức,ngoduc278@outlook.com,user123,user,7500,platinum,Nam,42,166,63.4,23.0,Trung Quốc,Nhân viên văn phòng,2026-02-22T20:41:06
279,Phan Mỹ Vân,phanvan279@yahoo.com,user123,user,1462,bronze,Nữ,35,167,64.5,23.1,Việt Nam,Luật sư,2026-02-01T20:41:06
280,Phạm Phương Hoa,phamhoa280@outlook.com,user123,user,51,iron,Nữ,33,163,57.6,21.7,Úc,Lập trình viên,2025-09-21T20:41:06
281,Đặng Thanh Dũng,dangdũng281@gmail.com,user123,user,19110,master,Nam,23,174,64.1,21.2,Úc,Lập trình viên,2026-03-20T20:41:06
282,Đặng Thanh Hà,dangha282@gmail.com,user123,user,6758,platinum,Nữ,35,161,47.5,18.3,Việt Nam,Kế toán,2026-01-31T20:41:06
283,Hồ Thanh Thủy,hothủy283@outlook.com,user123,user,233,iron,Nữ,18,169,57.6,20.2,Singapore,Freelancer,2025-10-24T20:41:06
284,Đỗ Thị Xuân,dỗxuan284@outlook.com,user123,user,3880,gold,Nữ,24,164,53.3,19.8,Thái Lan,Luật sư,2026-05-25T20:41:06
285,Trần Văn Đức,tranduc285@outlook.com,user123,user,2539,gold,Nam,34,163,62.7,23.6,Pháp,Marketing,2025-11-15T20:41:06
286,Võ Công Vũ,võvũ286@outlook.com,user123,user,11771,diamond,Nam,22,179,67.1,20.9,Việt Nam,Quản lý dự án,2026-02-20T20:41:06
287,Dương Kim Thu,duongthu287@yahoo.com,user123,user,6964,platinum,Nữ,18,154,45.7,19.3,Đức,Sinh viên,2025-06-27T20:41:06
288,Hoàng Ngọc Tâm,hoangtam288@outlook.com,user123,user,688,bronze,Nữ,34,153,43.0,18.4,Thái Lan,Kỹ sư phần mềm,2025-06-14T20:41:06
289,Võ Văn Thiện,võthien289@outlook.com,user123,user,236,iron,Nam,42,181,63.9,19.5,Canada,Bác sĩ,2026-02-12T20:41:06
290,Trần Văn Tuấn,trantuan290@hotmail.com,user123,user,1134,bronze,Nam,35,170,58.7,20.3,Mỹ,Lập trình viên,2025-08-07T20:41:06
291,Đỗ Thanh Anh,dỗanh291@yahoo.com,user123,user,4060,platinum,Nữ,19,152,43.3,18.7,Trung Quốc,Nhà báo,2026-05-07T20:41:06
292,Trần Thu Hà,tranha292@hotmail.com,user123,user,7377,platinum,Nữ,33,169,64.3,22.5,Việt Nam,Sinh viên,2026-05-08T20:41:06
293,Lê Ngọc Trang,letrang293@yahoo.com,user123,user,5088,platinum,Nữ,26,157,54.0,21.9,Thái Lan,Nhân viên văn phòng,2026-05-16T20:41:06
294,Hồ Bích Uyên,houyen294@yahoo.com,user123,user,1408,bronze,Nữ,24,162,53.3,20.3,Úc,Kế toán,2026-04-20T20:41:06
295,Phan Ngọc Nhung,phannhung295@yahoo.com,user123,user,368,iron,Nữ,24,164,48.8,18.1,Việt Nam,Lập trình viên,2025-09-30T20:41:06
296,Ngô Minh Giang,ngogiang296@yahoo.com,user123,user,443,iron,Nam,34,172,64.3,21.7,Hàn Quốc,Freelancer,2025-11-15T20:41:06
297,Phan Quốc Bảo,phanbao297@outlook.com,user123,user,4521,platinum,Nam,21,166,55.2,20.0,Việt Nam,Y tá,2026-01-28T20:41:06
298,Huỳnh Thanh Quỳnh,huynhquynh298@gmail.com,user123,user,6800,platinum,Nữ,29,169,54.8,19.2,Đức,Bác sĩ,2025-07-01T20:41:06
299,Dương Thanh Quân,duongquan299@outlook.com,user123,user,1174,bronze,Nam,35,170,65.9,22.8,Úc,Doanh nhân,2025-12-06T20:41:06
300,Huỳnh Công Sơn,huynhson300@hotmail.com,user123,user,12770,diamond,Nam,43,169,71.1,24.9,Mỹ,Bác sĩ,2026-03-06T20:41:06
301,Bùi Thanh Xuân,bùixuan301@hotmail.com,user123,user,25500,master,Nữ,36,164,60.0,22.3,Trung Quốc,Thiết kế đồ họa,2025-06-24T20:41:06
302,Dương Thu Loan,duongloan302@gmail.com,user123,user,5833,platinum,Nữ,33,165,60.3,22.1,Việt Nam,Bác sĩ,2025-07-19T20:41:06
303,Nguyễn Thanh Hương,nguyễnhuong303@hotmail.com,user123,user,375,iron,Nữ,44,156,49.0,20.1,Singapore,Nhân viên văn phòng,2026-04-10T20:41:06
304,Đỗ Hữu Vũ,dỗvũ304@yahoo.com,user123,user,7076,platinum,Nam,39,180,77.1,23.8,Hàn Quốc,Quản lý dự án,2026-04-24T20:41:06
305,Dương Thu Giang,duonggiang305@hotmail.com,user123,user,3622,gold,Nữ,24,161,60.3,23.3,Singapore,Luật sư,2025-08-31T20:41:06
306,Huỳnh Công Xuân,huynhxuan306@hotmail.com,user123,user,124,iron,Nam,42,178,66.1,20.9,Nhật Bản,Nhân viên văn phòng,2025-09-23T20:41:06
307,Huỳnh Minh Bảo,huynhbao307@gmail.com,user123,user,550,bronze,Nam,40,174,68.3,22.6,Đức,Nhân viên văn phòng,2025-05-31T20:41:06
308,Phạm Thu Trinh,phamtrinh308@outlook.com,user123,user,1407,bronze,Nữ,36,152,49.7,21.5,Việt Nam,Quản lý dự án,2025-05-28T20:41:06
309,Bùi Thanh Nhân,bùinhan309@outlook.com,user123,user,13467,diamond,Nam,39,177,61.6,19.7,Canada,Freelancer,2026-04-03T20:41:06
310,Lý Hoàng Dũng,lydũng310@yahoo.com,user123,user,3250,gold,Nam,38,172,59.1,20.0,Đức,Kỹ sư phần mềm,2026-02-15T20:41:06
311,Phạm Ngọc Hà,phamha311@hotmail.com,user123,user,5224,platinum,Nữ,33,152,40.3,17.4,Việt Nam,Giáo viên,2026-02-02T20:41:06
312,Vũ Đức Trung,vũtrung312@hotmail.com,user123,user,10169,diamond,Nam,40,163,64.4,24.2,Pháp,Kỹ sư phần mềm,2025-11-11T20:41:06
313,Vũ Hữu Trung,vũtrung313@hotmail.com,user123,user,3015,gold,Nam,23,170,63.6,22.0,Hàn Quốc,Doanh nhân,2026-02-15T20:41:06
314,Trần Phương Hương,tranhuong314@gmail.com,user123,user,1452,bronze,Nữ,24,161,60.6,23.4,Nhật Bản,Luật sư,2026-04-28T20:41:06
315,Ngô Minh Khải,ngokhai315@gmail.com,user123,user,220,iron,Nam,22,163,57.3,21.6,Việt Nam,Thiết kế đồ họa,2025-10-27T20:41:06
316,Hoàng Thị Thảo,hoangthao316@hotmail.com,user123,user,420,iron,Nữ,33,153,40.8,17.4,Đức,Bác sĩ,2025-12-21T20:41:06
317,Bùi Phương Yến,bùiyen317@hotmail.com,user123,user,706,bronze,Nữ,21,167,51.6,18.5,Nhật Bản,Thiết kế đồ họa,2026-01-12T20:41:06
318,Ngô Ngọc Phương,ngophuong318@hotmail.com,user123,user,5728,platinum,Nữ,28,166,56.7,20.6,Việt Nam,Kỹ sư phần mềm,2025-07-27T20:41:06
319,Phạm Văn Giang,phamgiang319@hotmail.com,user123,user,1248,bronze,Nam,33,169,60.0,21.0,Hàn Quốc,Y tá,2026-03-09T20:41:06
320,Võ Hữu Long,võlong320@gmail.com,user123,user,1027,bronze,Nam,30,164,55.5,20.6,Việt Nam,Marketing,2025-12-31T20:41:06
321,Lê Bích Ngân,lengan321@gmail.com,user123,user,18,iron,Nữ,38,159,51.5,20.4,Mỹ,Giáo viên,2025-09-17T20:41:06
322,Võ Phương Mai,võmai322@gmail.com,user123,user,1321,bronze,Nữ,30,167,59.9,21.5,Singapore,Freelancer,2025-11-25T20:41:06
323,Đỗ Hữu Quang,dỗquang323@outlook.com,user123,user,465,iron,Nam,23,164,56.8,21.1,Việt Nam,Kế toán,2025-06-24T20:41:06
324,Võ Hữu Thắng,võthang324@outlook.com,user123,user,664,bronze,Nam,29,168,69.2,24.5,Canada,Lập trình viên,2025-09-01T20:41:06
325,Lý Kim Ngân,lyngan325@outlook.com,user123,user,14191,diamond,Nữ,19,158,44.4,17.8,Canada,Kiến trúc sư,2025-09-08T20:41:06
326,Lý Đức Lâm,lylam326@outlook.com,user123,user,12056,diamond,Nam,37,173,60.4,20.2,Singapore,Y tá,2025-06-02T20:41:06
327,Đỗ Công Hải,dỗhai327@yahoo.com,user123,user,809,bronze,Nam,22,173,58.4,19.5,Úc,Kiến trúc sư,2025-07-03T20:41:06
328,Hồ Thị Quỳnh,hoquynh328@yahoo.com,user123,user,1293,bronze,Nữ,26,158,46.2,18.5,Pháp,Lập trình viên,2026-01-11T20:41:06
329,Dương Quốc Anh,duonganh329@gmail.com,user123,user,4648,platinum,Nam,27,176,59.7,19.3,Đức,Nhà báo,2026-04-12T20:41:06
330,Hoàng Hữu Anh,hoanganh330@gmail.com,user123,user,6277,platinum,Nam,22,163,58.8,22.1,Pháp,Bác sĩ,2026-02-01T20:41:06
331,Hoàng Đức Khoa,hoangkhoa331@yahoo.com,user123,user,1139,bronze,Nam,23,164,65.4,24.3,Việt Nam,Kế toán,2025-12-27T20:41:06
332,Hoàng Thanh Linh,hoanglinh332@yahoo.com,user123,user,29300,master,Nữ,28,156,56.9,23.4,Pháp,Giáo viên,2025-09-05T20:41:06
333,Phạm Phương My,phammy333@outlook.com,user123,user,1402,bronze,Nữ,43,154,47.8,20.2,Singapore,Kiến trúc sư,2025-08-03T20:41:06
334,Hoàng Đức Cường,hoangcuong334@outlook.com,user123,user,1294,bronze,Nam,34,174,69.8,23.1,Hàn Quốc,Nhà báo,2025-07-10T20:41:06
335,Hoàng Quốc Việt,hoangviet335@hotmail.com,user123,user,652,bronze,Nam,20,167,56.7,20.3,Hàn Quốc,Marketing,2025-05-28T20:41:06
336,Dương Đức Kiên,duongkien336@yahoo.com,user123,user,6524,platinum,Nam,26,168,59.5,21.1,Singapore,Thiết kế đồ họa,2025-09-29T20:41:06
337,Phan Phương Anh,phananh337@outlook.com,user123,user,3288,gold,Nữ,36,156,52.8,21.7,Nhật Bản,Doanh nhân,2026-03-25T20:41:06
338,Hồ Thanh Nga,honga338@outlook.com,user123,user,27516,master,Nữ,39,157,45.8,18.6,Việt Nam,Lập trình viên,2025-11-05T20:41:06
339,Đặng Văn Tùng,dangtùng339@gmail.com,user123,user,263,iron,Nam,40,175,58.5,19.1,Mỹ,Y tá,2025-09-13T20:41:06
